loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, Graduate, No,4512000.0,14053000.0,12,778,1128000.0,8271999.999999999,10669000.0,3760000.0, Approved
2,0, Not Graduate, Yes,1927000.0,5734000.0,8,417,1269000.0,1033999.9999999999,4135999.9999999995,1551000.0, Rejected
3,3, Graduate, No,4277000.0,13959000.0,20,506,3337000.0,2115000.0,15651000.0,6016000.0, Rejected
4,3, Graduate, No,3854000.0,14429000.0,8,467,8554000.0,1551000.0,10951000.0,3713000.0, Rejected
5,5, Not Graduate, Yes,4606000.0,11374000.0,20,382,5828000.0,3854000.0,13818000.0,2350000.0, Rejected
6,0, Graduate, Yes,2256000.0,6345000.0,10,319,3196000.0,3901000.0,6439000.0,2397000.0, Rejected
7,5, Graduate, No,4089000.0,15510000.0,4,678,10575000.0,6956000.0,13724000.0,2021000.0, Approved
8,2, Graduate, Yes,2679000.0,7050000.0,20,382,6204000.0,2679000.0,5546000.0,2820000.0, Rejected
9,0, Graduate, Yes,376000.0,1033999.9999999999,20,782,611000.0,376000.0,1316000.0,282000.0, Approved
10,5, Not Graduate, No,516999.99999999994,2021000.0,10,388,1504000.0,658000.0,1551000.0,752000.0, Rejected
11,4, Graduate, Yes,1363000.0,5264000.0,2,547,3807000.0,2209000.0,4465000.0,1457000.0, Approved
12,2, Not Graduate, Yes,3149000.0,10669000.0,18,538,7191000.0,2726000.0,9588000.0,3008000.0, Rejected
13,3, Not Graduate, Yes,2350000.0,5452000.0,16,311,3008000.0,4512000.0,6862000.0,2021000.0, Rejected
14,2, Graduate, Yes,4277000.0,14805000.0,14,679,5076000.0,7802000.0,9823000.0,2350000.0, Approved
15,1, Not Graduate, No,893000.0,3478000.0,6,469,893000.0,564000.0,2773000.0,893000.0, Rejected
16,5, Not Graduate, No,2209000.0,5029000.0,10,794,2679000.0,1833000.0,7708000.0,2067999.9999999998, Approved
17,2, Graduate, Yes,235000.0,752000.0,4,663,611000.0,47000.0,611000.0,329000.0, Approved
18,4, Not Graduate, Yes,1363000.0,4418000.0,14,780,1363000.0,1316000.0,3149000.0,2021000.0, Approved
19,2, Graduate, No,1269000.0,4841000.0,10,736,470000.0,0.0,2914000.0,1551000.0, Approved
20,5, Graduate, No,2961000.0,6862000.0,12,652,4841000.0,1645000.0,11045000.0,2773000.0, Approved
21,2, Graduate, No,2350000.0,9118000.0,12,315,4465000.0,752000.0,8460000.0,2867000.0, Rejected
22,4, Graduate, No,2726000.0,6580000.0,16,530,1786000.0,5311000.0,10434000.0,2538000.0, Rejected
23,4, Graduate, Yes,3055000.0,12079000.0,18,311,6157000.0,799000.0,9165000.0,3995000.0, Rejected
24,0, Not Graduate, Yes,235000.0,658000.0,2,551,423000.0,282000.0,516999.99999999994,141000.0, Approved
25,0, Not Graduate, No,2303000.0,4606000.0,16,324,1786000.0,4089000.0,4700000.0,1551000.0, Rejected
26,5, Not Graduate, No,1457000.0,4465000.0,20,514,3713000.0,1457000.0,3102000.0,1222000.0, Rejected
